n_digit,sample_prop,trial,estimate
2,0.1111111111111111,73,300
2,0.1111111111111111,74,286
2,0.1111111111111111,75,286
2,0.1111111111111111,76,187
2,0.1111111111111111,77,570
2,0.1111111111111111,78,68
2,0.1111111111111111,79,405
2,0.1111111111111111,80,136
2,0.1111111111111111,81,425
2,0.1111111111111111,82,560
2,0.1111111111111111,83,293
2,0.1111111111111111,84,560
2,0.1111111111111111,85,306
2,0.1111111111111111,86,606
2,0.1111111111111111,87,99
2,0.1111111111111111,88,425
2,0.1111111111111111,89,405
2,0.1111111111111111,90,570
2,0.1111111111111111,91,560
2,0.1111111111111111,92,306
2,0.1111111111111111,93,405
2,0.1111111111111111,94,570
2,0.1111111111111111,95,286
2,0.1111111111111111,96,570
2,0.1111111111111111,97,570
2,0.1111111111111111,98,120
2,0.1111111111111111,99,293
2,0.1111111111111111,100,308
2,0.1,1,405
2,0.1,2,313
2,0.1,3,271
2,0.1,4,271
2,0.1,5,313
2,0.1,6,271
2,0.1,7,308
2,0.1,8,570
2,0.1,9,248
2,0.1,10,308
2,0.1,11,308
2,0.1,12,173
2,0.1,13,560
2,0.1,14,560
2,0.1,15,271
2,0.1,16,606
2,0.1,17,149
2,0.1,18,308
2,0.1,19,606
2,0.1,20,286
2,0.1,21,187
2,0.1,22,300
2,0.1,23,425
2,0.1,24,313
2,0.1,25,405
2,0.1,26,293
2,0.1,27,220
2,0.1,28,313
2,0.1,29,271
2,0.1,30,308
2,0.1,31,220
2,0.1,32,192
2,0.1,33,560
2,0.1,34,300
2,0.1,35,570
2,0.1,36,173
2,0.1,37,286
2,0.1,38,425
2,0.1,39,248
2,0.1,40,293
2,0.1,41,405
2,0.1,42,560
2,0.1,43,187
2,0.1,44,308
2,0.1,45,271
2,0.1,46,300
2,0.1,47,570
2,0.1,48,300
2,0.1,49,313
2,0.1,50,300
2,0.1,51,313
2,0.1,52,293
2,0.1,53,570
2,0.1,54,293
2,0.1,55,286
2,0.1,56,308
2,0.1,57,606
2,0.1,58,313
2,0.1,59,308
2,0.1,60,308
2,0.1,61,94
2,0.1,62,300
2,0.1,63,286
2,0.1,64,306
2,0.1,65,313
2,0.1,66,560
2,0.1,67,313
2,0.1,68,405
2,0.1,69,90
2,0.1,70,606
2,0.1,71,570
2,0.1,72,248
2,0.1,73,570
2,0.1,74,560
2,0.1,75,192
2,0.1,76,300
2,0.1,77,61
2,0.1,78,560
2,0.1,79,286
2,0.1,80,405
2,0.1,81,425
2,0.1,82,220
2,0.1,83,425
2,0.1,84,405
2,0.1,85,606
2,0.1,86,308
2,0.1,87,560
2,0.1,88,560
2,0.1,89,560
2,0.1,90,313
2,0.1,91,606
2,0.1,92,570
2,0.1,93,293
2,0.1,94,300
2,0.1,95,560
2,0.1,96,220
2,0.1,97,149
2,0.1,98,248
2,0.1,99,306
2,0.1,100,308
3,0.5,1,5230
3,0.5,2,8554
3,0.5,3,5230
3,0.5,4,8554
3,0.5,5,4888
3,0.5,6,8554
3,0.5,7,8554
3,0.5,8,8554
3,0.5,9,8554
3,0.5,10,8554
3,0.5,11,8554
3,0.5,12,6239
3,0.5,13,8554
3,0.5,14,4888
3,0.5,15,8554
3,0.5,16,4752
3,0.5,17,8554
3,0.5,18,4888
3,0.5,19,8554
3,0.5,20,8554
3,0.5,21,6239
3,0.5,22,4461
3,0.5,23,8554
3,0.5,24,8554
3,0.5,25,8554
3,0.5,26,8554
3,0.5,27,8554
3,0.5,28,4752
3,0.5,29,4888
3,0.5,30,6239
3,0.5,31,5230
3,0.5,32,5230
3,0.5,33,8554
3,0.5,34,8554
3,0.5,35,4442
3,0.5,36,8554
3,0.5,37,4888
3,0.5,38,6239
3,0.5,39,4752
3,0.5,40,5230
3,0.5,41,8554
3,0.5,42,8554
3,0.5,43,8554
3,0.5,44,8554
3,0.5,45,5230
3,0.5,46,4752
3,0.5,47,8554
3,0.5,48,4752
3,0.5,49,8554
3,0.5,50,8554
3,0.5,51,8554
3,0.5,52,8554
3,0.5,53,6239
3,0.5,54,4888
3,0.5,55,8554
3,0.5,56,6239
3,0.5,57,8554
3,0.5,58,6239
3,0.5,59,8554
3,0.5,60,5230
3,0.5,61,8554
3,0.5,62,8554
3,0.5,63,8554
